,date,team,goals,xg,pass_success_rate,possession,tot_duels_win_rate,sobotr,cornwsr,fkwsr,pen_conversion_rate,acc_cross_rate,succ_for_passes_rate,succ_back_passes_rate,succ_lat_passes_rate,succ_long_passes_rate,succ_fin_third_passes_rate,succ_prog_passes_rate,succ_smart_passes_rate,succ_throw_ins_rate,mean_shot_dist,mean_pass_len,ppda,passes_per_minute,goal_conversion_rate,touches_in_box_per_minute,recoveries_per_minute,shots_on_target_rate
73,10/1/24, Penn State Nittany Lion,1,0.83,72.39,36.24,49.79,33.33,100.0,0.0,0,28.57,58.2,86.0,85.42,41.38,56.9,68.75,0.0,79.17,18.88,22.15,11.26,2.911764705882353,0.14285714285714285,0.08823529411764706,0.8921568627450981,0.42857142857142855
74,9/25/24, Penn State Nittany Lion,2,0.61,72.62,42.07,40.88,50.0,100.0,0.0,0,20.0,56.02,87.5,87.79,40.28,46.59,59.14,0.0,86.36,20.43,20.41,11.17,4.353535353535354,0.4,0.08080808080808081,1.2323232323232323,0.4
75,9/21/24, Penn State Nittany Lion,2,1.59,82.65,51.41,49.24,66.67,0.0,100.0,0,16.67,67.68,95.29,90.82,49.23,58.02,74.75,50.0,84.0,16.88,21.14,11.36,4.9326923076923075,0.2222222222222222,0.14423076923076922,0.7596153846153846,0.6666666666666666
76,9/18/24, Penn State Nittany Lion,0,1.01,77.3,43.23,41.15,100.0,100.0,33.33,0,14.29,59.69,90.91,88.99,51.85,48.15,62.5,0.0,81.82,12.75,20.98,13.09,3.1650485436893203,0.0,0.06796116504854369,0.7475728155339806,0.16666666666666666
77,9/14/24, Penn State Nittany Lion,1,0.74,82.17,55.94,49.59,12.5,25.0,0.0,0,22.22,74.72,93.18,86.63,54.55,68.92,79.57,0.0,92.0,22.08,18.91,6.87,4.229508196721311,0.07142857142857142,0.18032786885245902,0.7704918032786885,0.14285714285714285
78,9/10/24, Penn State Nittany Lion,2,0.22,78.73,50.56,55.7,50.0,0.0,0.0,0,25.0,60.24,95.24,90.85,43.84,57.53,72.73,100.0,79.17,23.59,21.19,11.52,4.20952380952381,0.4,0.009523809523809525,0.8952380952380953,0.4
79,9/2/24, Penn State Nittany Lion,4,1.07,84.35,53.49,50.19,37.5,25.0,0.0,0,42.86,73.37,95.35,91.72,46.55,69.57,77.91,50.0,95.24,21.38,19.9,9.74,4.380952380952381,0.25,0.1619047619047619,0.6857142857142857,0.5625
80,8/31/24, Penn State Nittany Lion,1,0.64,71.58,33.89,46.37,100.0,0.0,25.0,0,40.0,51.18,94.23,85.88,24.53,36.0,48.33,0.0,68.75,17.85,22.22,16.56,2.891089108910891,0.2,0.07920792079207921,0.7128712871287128,0.6
81,8/25/24, Penn State Nittany Lion,2,0.59,86.25,63.95,47.11,22.22,37.5,25.0,0,18.18,66.85,95.29,95.37,45.76,64.95,76.92,0.0,88.46,22.55,20.77,10.25,7.042553191489362,0.15384615384615385,0.13829787234042554,0.9680851063829787,0.15384615384615385
82,8/23/24, Penn State Nittany Lion,0,0.98,86.45,46.1,44.24,33.33,50.0,0.0,0,42.86,78.42,96.88,91.25,60.87,67.19,75.68,100.0,73.68,15.76,19.85,10.56,4.037735849056604,0.0,0.12264150943396226,0.8301886792452831,0.2222222222222222
83,10/30/24, Indiana Hoosiers,6,2.97,80.56,56.81,48.05,60.0,14.29,0.0,100,15.79,64.79,92.21,91.72,35.71,65.75,73.17,0.0,79.17,18.47,23.68,7.24,4.0754716981132075,0.25,0.32075471698113206,0.7924528301886793,0.4583333333333333
84,10/26/24, Indiana Hoosiers,2,0.71,80.27,44.12,51.78,25.0,0.0,0.0,0,27.27,59.38,94.64,92.2,47.83,50.98,72.73,0.0,92.0,25.12,20.65,14.39,3.814432989690722,0.3333333333333333,0.13402061855670103,0.8865979381443299,0.5
85,10/19/24, Indiana Hoosiers,3,1.48,84.49,54.7,45.89,33.33,33.33,50.0,100,26.32,71.01,93.83,92.35,55.77,64.0,76.34,25.0,84.21,17.01,21.33,11.24,4.614678899082569,0.3333333333333333,0.13761467889908258,0.908256880733945,0.5555555555555556
86,10/16/24, Indiana Hoosiers,5,1.99,77.53,44.27,51.36,66.67,20.0,0.0,0,45.45,61.7,92.42,90.18,51.72,50.91,69.35,60.0,90.63,14.61,20.71,9.73,3.2882882882882885,0.5,0.13513513513513514,0.8018018018018018,0.5
87,10/12/24, Indiana Hoosiers,2,1.17,85.74,62.07,49.37,25.0,0.0,0.0,0,19.05,80.0,96.15,87.95,65.71,70.77,80.0,50.0,100.0,19.45,21.03,7.88,4.91588785046729,0.15384615384615385,0.18691588785046728,0.8411214953271028,0.38461538461538464
88,10/9/24, Indiana Hoosiers,3,2.63,83.11,54.59,48.29,33.33,30.77,50.0,0,41.67,71.43,91.53,92.63,58.54,71.43,81.33,40.0,82.76,17.66,20.74,9.72,4.469387755102041,0.13636363636363635,0.21428571428571427,0.8571428571428571,0.3181818181818182
89,10/4/24, Indiana Hoosiers,2,1.28,78.96,54.86,49.08,15.38,20.0,25.0,0,38.46,69.88,94.64,82.71,55.56,60.0,76.4,50.0,87.5,21.93,21.82,12.39,3.9223300970873787,0.09523809523809523,0.24271844660194175,1.0388349514563107,0.23809523809523808
